doc,edge_id,enhanced_signature,is_property,method_full_name,name,object_type,parameter_types,parameters_count,relationship,requires_parameters,return_type,signature,source,source_object,source_type,target
"Get last n rows (default 5)",178,"(n=5)",false,"BaseTable.tail","tail","BaseTable","{}",1,"BaseTable -> Unknown","[]","Unknown","(n=5)",34,"BaseTable","BaseTable",0
compressed_text,70,"()",false,"AttrName.isnumeric","isnumeric","AttrName","{}",0,"AttrName -> str","[]","str","()",15,"AttrName","AttrName",11
"Maximum along specified axis (0=rows, 1=columns)",470,"(axis)",false,"GraphMatrix.max_axis","max_axis","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""axis""]","Unknown","(axis)",40,"GraphMatrix","GraphMatrix",0
"Set bulk edge attributes - delegates to PyGraphAttrMut",49,"(attrs_dict)",false,"Graph.set_edge_attrs","set_edge_attrs","Graph","{}",1,"Graph -> GraphAttrMut","[""attrs_dict""]","GraphAttrMut","(attrs_dict)",37,"Graph","Graph",3
"Create iterator for method chaining",378,"()",false,"TableArray.iter","iter","TableArray","{}",0,"TableArray -> Unknown","[]","Unknown","()",23,"TableArray","TableArray",0
"Check if edge exists - DELEGATED (same as has_edge)  ",13,"(edge)",false,"Graph.contains_edge","contains_edge","Graph","{}",1,"Graph -> Unknown","[""edge""]","Unknown","(edge)",37,"Graph","Graph",0
compressed_text,228,"(length, byteorder, signed=False)",false,"EdgeId.to_bytes","to_bytes","EdgeId","{}",3,"EdgeId -> list","[""length"", ""byteorder""]","list","(length, byteorder, *, signed=False)",12,"EdgeId","EdgeId",22
compressed_text,205,"(width, fillchar= )",false,"BranchName.ljust","ljust","BranchName","{}",2,"BranchName -> str","[""width""]","str","(width, fillchar=' ', /)",16,"BranchName","BranchName",11
"Check if the array is empty",377,"()",false,"TableArray.is_empty","is_empty","TableArray","{}",0,"TableArray -> list","[]","list","()",23,"TableArray","TableArray",22
compressed_text,148,"(value_vars, var_name=None, value_name=None)",false,"BaseTable.melt","melt","BaseTable","{}",3,"BaseTable -> Unpivoted","[""value_vars""]","Unpivoted","(value_vars, var_name=None, value_name=None)",34,"BaseTable","BaseTable",1
"",20,"(edge)",false,"Graph.edge_endpoints","edge_endpoints","Graph","{}",1,"Graph -> Unknown","[""edge""]","Unknown","(edge)",37,"Graph","Graph",0
"Get first element",354,"()",false,"NumArray.first","first","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",27,"NumArray","NumArray",0
"Convert to Python list",364,"()",false,"NumArray.to_list","to_list","NumArray","{}",0,"NumArray -> list","[]","list","()",27,"NumArray","NumArray",22
"Eigenvalue decomposition: A * V = V * Λ
Returns tuple of (eigenvalues, eigenvectors) ",445,"()",false,"GraphMatrix.eigenvalue_decomposition","eigenvalue_decomposition","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",40,"GraphMatrix","GraphMatrix",0
"Set multiple node attributes (bulk operation) - delegates to accessor",424,"(attrs_dict)",false,"Subgraph.set_node_attrs","set_node_attrs","Subgraph","{}",1,"Subgraph -> Unknown","[""attrs_dict""]","Unknown","(attrs_dict)",19,"Subgraph","Subgraph",0
"Get text summary of subgraph",428,"()",false,"Subgraph.summary","summary","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",19,"Subgraph","Subgraph",19
compressed_text,282,"()",false,"NodesTable.interactive","interactive","NodesTable","{}",0,"NodesTable -> str","[]","str","()",28,"NodesTable","NodesTable",11
"Get number of columns (max of nodes and edges)",260,"()",false,"GraphTable.ncols","ncols","GraphTable","{}",0,"GraphTable -> float","[]","float","()",35,"GraphTable","GraphTable",2
"Get shape as (rows, cols)",327,"()",false,"EdgesTable.shape","shape","EdgesTable","{}",0,"EdgesTable -> Unknown","[]","Unknown","()",21,"EdgesTable","EdgesTable",0
"Check if edge has specific attribute - delegates to PyGraphAttr",31,"(edge_id, attr_name)",false,"Graph.has_edge_attribute","has_edge_attribute","Graph","{}",2,"Graph -> GraphAttr","[""edge_id"", ""attr_name""]","GraphAttr","(edge_id, attr_name)",37,"Graph","Graph",33
compressed_text,177,"(column)",false,"BaseTable.std","std","BaseTable","{}",1,"BaseTable -> Standard","[""column""]","Standard","(column)",34,"BaseTable","BaseTable",24
"Calculate transitivity of the subgraph",435,"()",false,"Subgraph.transitivity","transitivity","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",19,"Subgraph","Subgraph",19
compressed_text,237,"()",false,"NodesAccessor.all","all","NodesAccessor","{}",0,"NodesAccessor -> Subgraph","[]","Subgraph","()",20,"NodesAccessor","NodesAccessor",19
"Compute neighborhoods from this subgraph, returning a PyNeighborhoodResult",417,"(central_nodes, hops)",false,"Subgraph.neighborhood","neighborhood","Subgraph","{}",2,"Subgraph -> Subgraph","[""central_nodes"", ""hops""]","Subgraph","(central_nodes, hops)",19,"Subgraph","Subgraph",19
compressed_text,75,"(iterable)",false,"AttrName.join","join","AttrName","{}",1,"AttrName -> str","[""iterable""]","str","(iterable, /)",15,"AttrName","AttrName",11
"Create matrix from NumArray by reshaping to specified dimensions",453,"(num_array, rows, cols)",false,"GraphMatrix.from_flattened","from_flattened","GraphMatrix","{}",3,"GraphMatrix -> NumArray","[""num_array"", ""rows"", ""cols""]","NumArray","(num_array, rows, cols)",40,"GraphMatrix","GraphMatrix",27
compressed_text,82,"(old, new, count=-1)",false,"AttrName.replace","replace","AttrName","{}",3,"AttrName -> float","[""old"", ""new""]","float","(old, new, count=-1, /)",15,"AttrName","AttrName",2
"Merge with another GraphTable",258,"(other, strategy)",false,"GraphTable.merge_with","merge_with","GraphTable","{}",2,"GraphTable -> GraphTable","[""other"", ""strategy""]","GraphTable","(other, strategy)",35,"GraphTable","GraphTable",35
"Get node IDs as an IntArray for integer operations
Implements: g.nodes.ids()",241,"()",false,"NodesAccessor.ids","ids","NodesAccessor","{}",0,"NodesAccessor -> int","[]","int","()",20,"NodesAccessor","NodesAccessor",6
"Import NodesTable from JSON file (must contain node_id column)",278,"(path)",false,"NodesTable.from_json","from_json","NodesTable","{}",1,"NodesTable -> NodesTable","[""path""]","NodesTable","(path)",28,"NodesTable","NodesTable",28
"Calculate the sum",363,"()",false,"NumArray.sum","sum","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",27,"NumArray","NumArray",0
compressed_text,434,"()",false,"Subgraph.to_nodes","to_nodes","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",19,"Subgraph","Subgraph",19
compressed_text,155,"(column, percentile, interpolation=None)",false,"BaseTable.percentile","percentile","BaseTable","{}",3,"BaseTable -> Unknown","[""column"", ""percentile""]","Unknown","(column, percentile, interpolation=None)",34,"BaseTable","BaseTable",0
compressed_text,195,"()",false,"BranchName.isdecimal","isdecimal","BranchName","{}",0,"BranchName -> str","[]","str","()",16,"BranchName","BranchName",11
compressed_text,200,"()",false,"BranchName.isprintable","isprintable","BranchName","{}",0,"BranchName -> str","[]","str","()",16,"BranchName","BranchName",11
"Create DisplayConfig with default values",224,"()",false,"DisplayConfig.default","default","DisplayConfig","{}",0,"DisplayConfig -> DisplayConfig","[]","DisplayConfig","()",4,"DisplayConfig","DisplayConfig",4
"Create subgraph from list of edges",426,"(edges)",false,"Subgraph.subgraph_from_edges","subgraph_from_edges","Subgraph","{}",1,"Subgraph -> list","[""edges""]","list","(edges)",19,"Subgraph","Subgraph",22
"Check if the table contains any null values",140,"()",false,"BaseTable.has_nulls","has_nulls","BaseTable","{}",0,"BaseTable -> Unknown","[]","Unknown","()",34,"BaseTable","BaseTable",0
compressed_text,393,"(nodes=None, full_graph=False)",false,"Subgraph.degree","degree","Subgraph","{}",2,"Subgraph -> list","[]","list","(nodes=None, *, full_graph=False)",19,"Subgraph","Subgraph",22
"Convert subgraph nodes to a table - pure delegation to core GraphTable",429,"()",false,"Subgraph.table","table","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",19,"Subgraph","Subgraph",19
compressed_text,306,"(columns)",false,"EdgesTable.drop_columns","drop_columns","EdgesTable","{}",1,"EdgesTable -> list","[""columns""]","list","(columns)",21,"EdgesTable","EdgesTable",22
compressed_text,78,"(chars=None)",false,"AttrName.lstrip","lstrip","AttrName","{}",1,"AttrName -> str","[]","str","(chars=None, /)",15,"AttrName","AttrName",11
compressed_text,97,"(agg_specs)",false,"BaseTable.agg","agg","BaseTable","{}",1,"BaseTable -> dict","[""agg_specs""]","dict","(agg_specs)",34,"BaseTable","BaseTable",5
"Return a copy of the string converted to uppercase.",93,"()",false,"AttrName.upper","upper","AttrName","{}",0,"AttrName -> str","[]","str","()",15,"AttrName","AttrName",11
"Get total node count across all NodesAccessor objects",350,"()",false,"NodesArray.total_node_count","total_node_count","NodesArray","{}",0,"NodesArray -> NodesAccessor","[]","NodesAccessor","()",39,"NodesArray","NodesArray",20
"Return the entity type string",399,"()",false,"Subgraph.entity_type","entity_type","Subgraph","{}",0,"Subgraph -> str","[]","str","()",19,"Subgraph","Subgraph",11
"Get neighbors of a node within the subgraph",418,"(node_id)",false,"Subgraph.neighbors","neighbors","Subgraph","{}",1,"Subgraph -> Subgraph","[""node_id""]","Subgraph","(node_id)",19,"Subgraph","Subgraph",19
"Placeholder for scalar operations",489,"(scalar)",false,"GraphMatrix.scalar_multiply","scalar_multiply","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""scalar""]","Unknown","(scalar)",40,"GraphMatrix","GraphMatrix",0
"Calculate the mean (average)",358,"()",false,"NumArray.mean","mean","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",27,"NumArray","NumArray",0
"Check if the graph is connected (delegates to subgraph implementation)",36,"()",false,"Graph.is_connected","is_connected","Graph","{}",0,"Graph -> Graph","[]","Graph","()",37,"Graph","Graph",37
"Convenience method for grouping by a single column",138,"(column)",false,"BaseTable.groupby_single","groupby_single","BaseTable","{}",1,"BaseTable -> Unknown","[""column""]","Unknown","(column)",34,"BaseTable","BaseTable",0
"Get reference to underlying BaseTable",305,"()",false,"EdgesTable.base_table","base_table","EdgesTable","{}",0,"EdgesTable -> BaseTable","[]","BaseTable","()",21,"EdgesTable","EdgesTable",34
compressed_text,119,"()",false,"BaseTable.dropna","dropna","BaseTable","{}",0,"BaseTable -> Unknown","[]","Unknown","()",34,"BaseTable","BaseTable",0
"Get single edge attribute - delegates to PyGraphAttr",23,"(edge, attr, default=None)",false,"Graph.get_edge_attr","get_edge_attr","Graph","{}",3,"Graph -> GraphAttr","[""edge"", ""attr""]","GraphAttr","(edge, attr, default=None)",37,"Graph","Graph",33
"Convert table to SubgraphArray by creating subgraphs from table rows",269,"()",false,"GraphTable.to_subgraphs","to_subgraphs","GraphTable","{}",0,"GraphTable -> SubgraphArray","[]","SubgraphArray","()",35,"GraphTable","GraphTable",14
"Direct delegation: Apply filter to components",518,"(predicate)",false,"ComponentsArray.filter","filter","ComponentsArray","{}",1,"ComponentsArray -> Unknown","[""predicate""]","Unknown","(predicate)",30,"ComponentsArray","ComponentsArray",0
compressed_text,184,"(expected_columns)",false,"BaseTable.validate_schema","validate_schema","BaseTable","{}",1,"BaseTable -> dict","[""expected_columns""]","dict","(expected_columns)",34,"BaseTable","BaseTable",5
compressed_text,468,"(func)",false,"GraphMatrix.map","map","GraphMatrix","{}",1,"GraphMatrix -> Matrix","[""func""]","Matrix","(func)",40,"GraphMatrix","GraphMatrix",38
"Get all attribute keys for a node - delegates to PyGraphAttr",41,"(node_id)",false,"Graph.node_attribute_keys","node_attribute_keys","Graph","{}",1,"Graph -> GraphAttr","[""node_id""]","GraphAttr","(node_id)",37,"Graph","Graph",33
"Remove a single node from the graph",45,"(node)",false,"Graph.remove_node","remove_node","Graph","{}",1,"Graph -> Graph","[""node""]","Graph","(node)",37,"Graph","Graph",37
"Check if this subgraph is connected",413,"()",false,"Subgraph.is_connected","is_connected","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",19,"Subgraph","Subgraph",19
"Get single node attribute - delegates to PyGraphAttr",25,"(node, attr, default=None)",false,"Graph.get_node_attr","get_node_attr","Graph","{}",3,"Graph -> GraphAttr","[""node"", ""attr""]","GraphAttr","(node, attr, default=None)",37,"Graph","Graph",33
"Create induced subgraph from list of nodes",411,"(nodes)",false,"Subgraph.induced_subgraph","induced_subgraph","Subgraph","{}",1,"Subgraph -> list","[""nodes""]","list","(nodes)",19,"Subgraph","Subgraph",22
compressed_text,232,"(length, byteorder, signed=False)",false,"NodeId.to_bytes","to_bytes","NodeId","{}",3,"NodeId -> list","[""length"", ""byteorder""]","list","(length, byteorder, *, signed=False)",31,"NodeId","NodeId",22
"Create an iterator for method chaining",345,"()",false,"NodesArray.iter","iter","NodesArray","{}",0,"NodesArray -> Unknown","[]","Unknown","()",39,"NodesArray","NodesArray",0
compressed_text,382,"()",false,"Subgraph.adjacency_matrix","adjacency_matrix","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",19,"Subgraph","Subgraph",19
"Create EdgesTable from a Python dictionary (must contain 'edge_id', 'source', 'target' columns)",313,"(data)",false,"EdgesTable.from_dict","from_dict","EdgesTable","{}",1,"EdgesTable -> dict","[""data""]","dict","(data)",21,"EdgesTable","EdgesTable",5
"Get number of columns",287,"()",false,"NodesTable.ncols","ncols","NodesTable","{}",0,"NodesTable -> float","[]","float","()",28,"NodesTable","NodesTable",2
"Get Laplacian matrix - delegates to PyGraphMatrixHelper",37,"(normalized=None)",false,"Graph.laplacian_matrix","laplacian_matrix","Graph","{}",1,"Graph -> Matrix","[]","Matrix","(normalized=None)",37,"Graph","Graph",38
"Set bulk node attributes - delegates to PyGraphAttrMut",51,"(attrs_dict)",false,"Graph.set_node_attrs","set_node_attrs","Graph","{}",1,"Graph -> GraphAttrMut","[""attrs_dict""]","GraphAttrMut","(attrs_dict)",37,"Graph","Graph",3
"Remove a single edge from the graph",43,"(edge)",false,"Graph.remove_edge","remove_edge","Graph","{}",1,"Graph -> Graph","[""edge""]","Graph","(edge)",37,"Graph","Graph",37
"Cholesky decomposition: A = L * L^T
Returns L (lower triangular) for positive definite matrices",439,"()",false,"GraphMatrix.cholesky_decomposition","cholesky_decomposition","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",40,"GraphMatrix","GraphMatrix",0
"Calculate the L∞ norm (maximum absolute value) of the matrix",477,"()",false,"GraphMatrix.norm_inf","norm_inf","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",40,"GraphMatrix","GraphMatrix",38
compressed_text,235,"(bytes, byteorder, signed=False)",false,"StateId.from_bytes","from_bytes","StateId","{}",3,"StateId -> list","[""bytes"", ""byteorder""]","list","(bytes, byteorder, *, signed=False)",9,"StateId","StateId",22
compressed_text,158,"()",false,"BaseTable.profile","profile","BaseTable","{}",0,"BaseTable -> BaseTable","[]","BaseTable","()",34,"BaseTable","BaseTable",34
compressed_text,123,"(rows_data)",false,"BaseTable.extend","extend","BaseTable","{}",1,"BaseTable -> list","[""rows_data""]","list","(rows_data)",34,"BaseTable","BaseTable",22
"ELU (Exponential Linear Unit) activation function",447,"(alpha=None)",false,"GraphMatrix.elu","elu","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[]","Unknown","(alpha=None)",40,"GraphMatrix","GraphMatrix",0
"Calculate the L1 norm (sum of absolute values) of the matrix",478,"()",false,"GraphMatrix.norm_l1","norm_l1","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",40,"GraphMatrix","GraphMatrix",38
"Sigmoid activation applied to matrix
Implements: matrix.sigmoid()",491,"()",false,"GraphMatrix.sigmoid","sigmoid","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",40,"GraphMatrix","GraphMatrix",38
"Convert edge attributes to matrix
Implements: g.edges.matrix()",248,"()",false,"EdgesAccessor.matrix","matrix","EdgesAccessor","{}",0,"EdgesAccessor -> Matrix","[]","Matrix","()",17,"EdgesAccessor","EdgesAccessor",38
"Softmax activation applied to matrix
Implements: matrix.softmax(dim=1)",492,"(dim=1)",false,"GraphMatrix.softmax","softmax","GraphMatrix","{}",1,"GraphMatrix -> Matrix","[]","Matrix","(dim=1)",40,"GraphMatrix","GraphMatrix",38
"Direct delegation: Apply sample(k) to each component and return PySubgraphArray",521,"(k)",false,"ComponentsArray.sample","sample","ComponentsArray","{}",1,"ComponentsArray -> SubgraphArray","[""k""]","SubgraphArray","(k)",30,"ComponentsArray","ComponentsArray",14
"Transpose the matrix",514,"()",false,"GraphMatrix.transpose","transpose","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",40,"GraphMatrix","GraphMatrix",38
"Get reference to underlying BaseTable",272,"()",false,"NodesTable.base_table","base_table","NodesTable","{}",0,"NodesTable -> BaseTable","[]","BaseTable","()",28,"NodesTable","NodesTable",34
compressed_text,243,"(attrs_dict)",false,"NodesAccessor.set_attrs","set_attrs","NodesAccessor","{}",1,"NodesAccessor -> Graph","[""attrs_dict""]","Graph","(attrs_dict)",20,"NodesAccessor","NodesAccessor",37
"Count non-null values (for NumArray, all values are non-null by default)",353,"()",false,"NumArray.count","count","NumArray","{}",0,"NumArray -> NumArray","[]","NumArray","()",27,"NumArray","NumArray",27
"Get last element  ",356,"()",false,"NumArray.last","last","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",27,"NumArray","NumArray",0
"Get in-degree of nodes within subgraph",410,"(nodes=None, full_graph=False)",false,"Subgraph.in_degree","in_degree","Subgraph","{}",2,"Subgraph -> Subgraph","[]","Subgraph","(nodes=None, full_graph=False)",19,"Subgraph","Subgraph",19
"Get table iterator for chaining",145,"()",false,"BaseTable.iter","iter","BaseTable","{}",0,"BaseTable -> Unknown","[]","Unknown","()",34,"BaseTable","BaseTable",0
"Mean along specified axis (0=rows, 1=columns)",472,"(axis)",false,"GraphMatrix.mean_axis","mean_axis","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""axis""]","Unknown","(axis)",40,"GraphMatrix","GraphMatrix",0
"Calculate the trace (sum of diagonal elements) - only for square matrices",513,"()",false,"GraphMatrix.trace","trace","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",40,"GraphMatrix","GraphMatrix",0
"Import NodesTable from Parquet file (must contain node_id column)",279,"(path)",false,"NodesTable.from_parquet","from_parquet","NodesTable","{}",1,"NodesTable -> NodesTable","[""path""]","NodesTable","(path)",28,"NodesTable","NodesTable",28
"Export EdgesTable to Parquet file ",337,"(path)",false,"EdgesTable.to_parquet","to_parquet","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[""path""]","EdgesTable","(path)",21,"EdgesTable","EdgesTable",21
compressed_text,294,"(column, ascending=True)",false,"NodesTable.sort_by","sort_by","NodesTable","{}",2,"NodesTable -> NodesTable","[""column""]","NodesTable","(column, ascending=True)",28,"NodesTable","NodesTable",28
compressed_text,187,"()",false,"BranchName.capitalize","capitalize","BranchName","{}",0,"BranchName -> str","[]","str","()",16,"BranchName","BranchName",11
"Get last n rows (primarily from nodes table, default 5) ",265,"(n=5)",false,"GraphTable.tail","tail","GraphTable","{}",1,"GraphTable -> Unknown","[]","Unknown","(n=5)",35,"GraphTable","GraphTable",0
"Auto-assign edge IDs for null values (useful for meta nodes and imported data)",252,"()",false,"GraphTable.auto_assign_edge_ids","auto_assign_edge_ids","GraphTable","{}",0,"GraphTable -> Unknown","[]","Unknown","()",35,"GraphTable","GraphTable",0
"Create matrix from BaseArray containing numeric values",451,"(base_array, rows, cols)",false,"GraphMatrix.from_base_array","from_base_array","GraphMatrix","{}",3,"GraphMatrix -> float","[""base_array"", ""rows"", ""cols""]","float","(base_array, rows, cols)",40,"GraphMatrix","GraphMatrix",2
"Convert to BaseTable (loses edge-specific typing)",321,"()",false,"EdgesTable.into_base_table","into_base_table","EdgesTable","{}",0,"EdgesTable -> BaseTable","[]","BaseTable","()",21,"EdgesTable","EdgesTable",34
"Export EdgesTable to CSV file",334,"(path)",false,"EdgesTable.to_csv","to_csv","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[""path""]","EdgesTable","(path)",21,"EdgesTable","EdgesTable",21
compressed_text,193,"()",false,"BranchName.isalpha","isalpha","BranchName","{}",0,"BranchName -> str","[]","str","()",16,"BranchName","BranchName",11
"Check if the array contains a specific NodesAccessor",339,"(item)",false,"NodesArray.contains","contains","NodesArray","{}",1,"NodesArray -> list","[""item""]","list","(item)",39,"NodesArray","NodesArray",22
"Convert uppercase characters to lowercase and lowercase characters to uppercase.",219,"()",false,"BranchName.swapcase","swapcase","BranchName","{}",0,"BranchName -> Unknown","[]","Unknown","()",16,"BranchName","BranchName",0
compressed_text,114,"(column)",false,"BaseTable.cumsum","cumsum","BaseTable","{}",1,"BaseTable -> BaseArray","[""column""]","BaseArray","(column)",34,"BaseTable","BaseTable",26
compressed_text,150,"()",false,"BaseTable.notna","notna","BaseTable","{}",0,"BaseTable -> bool","[]","bool","()",34,"BaseTable","BaseTable",36
"Apply table() to all subgraphs and return PyTableArray",372,"()",false,"SubgraphArray.table","table","SubgraphArray","{}",0,"SubgraphArray -> TableArray","[]","TableArray","()",14,"SubgraphArray","SubgraphArray",23
"Element-wise natural logarithm",466,"()",false,"GraphMatrix.log","log","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",40,"GraphMatrix","GraphMatrix",0
compressed_text,115,"()",false,"BaseTable.describe","describe","BaseTable","{}",0,"BaseTable -> float","[]","float","()",34,"BaseTable","BaseTable",2
"Global maximum value in the matrix",469,"()",false,"GraphMatrix.max","max","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",40,"GraphMatrix","GraphMatrix",38
compressed_text,236,"(length, byteorder, signed=False)",false,"StateId.to_bytes","to_bytes","StateId","{}",3,"StateId -> list","[""length"", ""byteorder""]","list","(length, byteorder, *, signed=False)",9,"StateId","StateId",22
"Convert to Python list",373,"()",false,"SubgraphArray.to_list","to_list","SubgraphArray","{}",0,"SubgraphArray -> list","[]","list","()",14,"SubgraphArray","SubgraphArray",22
