doc,edge_id,enhanced_signature,is_property,method_full_name,name,object_type,parameter_types,parameters_count,relationship,requires_parameters,return_type,signature,source,source_object,source_type,target
compressed_text,392,"()",false,"GraphMatrix.flatten","flatten","GraphMatrix","{}",0,"GraphMatrix -> NumArray","[]","NumArray","()",15,"GraphMatrix","GraphMatrix",26
"Apply table() to each NodesAccessor and return TableArray",290,"()",false,"NodesArray.table","table","NodesArray","{}",0,"NodesArray -> TableArray","[]","TableArray","()",28,"NodesArray","NodesArray",4
"ReLU activation applied to matrix
Implements: matrix.relu()",428,"()",false,"GraphMatrix.relu","relu","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",15,"GraphMatrix","GraphMatrix",2
compressed_text,73,"()",false,"AttrName.istitle","istitle","AttrName","{}",0,"AttrName -> str","[]","str","()",10,"AttrName","AttrName",7
compressed_text,120,"(start, end, column_name, value, step=1)",false,"BaseTable.set_values_by_range","set_values_by_range","BaseTable","{}",5,"BaseTable -> Unknown","[""start"", ""end"", ""column_name"", ""value""]","Unknown","(start, end, column_name, value, step=1)",23,"BaseTable","BaseTable",21
"Get connected components within this subgraph (lazy array)",331,"()",false,"Subgraph.connected_components","connected_components","Subgraph","{}",0,"Subgraph -> list","[]","list","()",6,"Subgraph","Subgraph",8
compressed_text,181,"()",false,"NodesAccessor.all","all","NodesAccessor","{}",0,"NodesAccessor -> Subgraph","[]","Subgraph","()",20,"NodesAccessor","NodesAccessor",6
"Get entire row as BaseArray (mixed types) or NumArray (if all numerical)",402,"(row)",false,"GraphMatrix.get_row","get_row","GraphMatrix","{}",1,"GraphMatrix -> BaseArray","[""row""]","BaseArray","(row)",15,"GraphMatrix","GraphMatrix",27
compressed_text,86,"(chars=None)",false,"AttrName.rstrip","rstrip","AttrName","{}",1,"AttrName -> str","[]","str","(chars=None, /)",10,"AttrName","AttrName",7
compressed_text,149,"(chars=None)",false,"BranchName.lstrip","lstrip","BranchName","{}",1,"BranchName -> str","[]","str","(chars=None, /)",22,"BranchName","BranchName",7
"Determinant calculation (for square matrices)",385,"()",false,"GraphMatrix.determinant","determinant","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",15,"GraphMatrix","GraphMatrix",21
"Get first n rows (primarily from nodes table, default 5)",199,"(n=5)",false,"GraphTable.head","head","GraphTable","{}",1,"GraphTable -> Unknown","[]","Unknown","(n=5)",33,"GraphTable","GraphTable",21
"Calculate the mean (average)",299,"()",false,"NumArray.mean","mean","NumArray","{}",0,"NumArray -> Unknown","[]","Unknown","()",26,"NumArray","NumArray",21
compressed_text,136,"()",false,"BranchName.isascii","isascii","BranchName","{}",0,"BranchName -> str","[]","str","()",22,"BranchName","BranchName",7
"Filter all tables using a query - placeholder method",317,"(query)",false,"TableArray.filter","filter","TableArray","{}",1,"TableArray -> Unknown","[""query""]","Unknown","(query)",4,"TableArray","TableArray",21
compressed_text,334,"(nodes=None, full_graph=False)",false,"Subgraph.degree","degree","Subgraph","{}",2,"Subgraph -> list","[]","list","(nodes=None, *, full_graph=False)",6,"Subgraph","Subgraph",8
compressed_text,453,"(eps=None, k=None)",false,"GraphMatrix.to_normalized_laplacian","to_normalized_laplacian","GraphMatrix","{}",2,"GraphMatrix -> Matrix","[]","Matrix","(eps=None, k=None)",15,"GraphMatrix","GraphMatrix",2
compressed_text,128,"(other)",false,"BaseTable.union","union","BaseTable","{}",1,"BaseTable -> Unknown","[""other""]","Unknown","(other)",23,"BaseTable","BaseTable",21
compressed_text,108,"(columns)",false,"BaseTable.group_by","group_by","BaseTable","{}",1,"BaseTable -> list","[""columns""]","list","(columns)",23,"BaseTable","BaseTable",8
"Export EdgesTable to CSV file",276,"(path)",false,"EdgesTable.to_csv","to_csv","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[""path""]","EdgesTable","(path)",13,"EdgesTable","EdgesTable",13
"Apply table() to all subgraphs and return PyTableArray",313,"()",false,"SubgraphArray.table","table","SubgraphArray","{}",0,"SubgraphArray -> TableArray","[]","TableArray","()",30,"SubgraphArray","SubgraphArray",4
"Get column as numeric array if possible (returns NumArray/IntArray or error)",106,"(column_name)",false,"BaseTable.get_column_numeric","get_column_numeric","BaseTable","{}",1,"BaseTable -> list","[""column_name""]","list","(column_name)",23,"BaseTable","BaseTable",8
"Get rich display representation with EdgesTable type",268,"(config=None)",false,"EdgesTable.rich_display","rich_display","EdgesTable","{}",1,"EdgesTable -> EdgesTable","[]","EdgesTable","(config=None)",13,"EdgesTable","EdgesTable",13
"ELU (Exponential Linear Unit) activation function",389,"(alpha=None)",false,"GraphMatrix.elu","elu","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[]","Unknown","(alpha=None)",15,"GraphMatrix","GraphMatrix",21
"Create a preset configuration for publication-ready outputs",180,"(width=None, height=None)",false,"VizConfig.publication","publication","VizConfig","{}",2,"VizConfig -> Unknown","[]","Unknown","(width=None, height=None)",25,"VizConfig","VizConfig",21
"Global minimum value in the matrix",417,"()",false,"GraphMatrix.min","min","GraphMatrix","{}",0,"GraphMatrix -> Matrix","[]","Matrix","()",15,"GraphMatrix","GraphMatrix",2
"Mean along specified axis (0=rows, 1=columns)",416,"(axis)",false,"GraphMatrix.mean_axis","mean_axis","GraphMatrix","{}",1,"GraphMatrix -> Unknown","[""axis""]","Unknown","(axis)",15,"GraphMatrix","GraphMatrix",21
"Filter NodesAccessor objects using a Python predicate function",282,"(predicate)",false,"NodesArray.filter","filter","NodesArray","{}",1,"NodesArray -> NodesAccessor","[""predicate""]","NodesAccessor","(predicate)",28,"NodesArray","NodesArray",20
"Convert to Python list",305,"()",false,"NumArray.to_list","to_list","NumArray","{}",0,"NumArray -> list","[]","list","()",26,"NumArray","NumArray",8
"Group nodes by attribute value and compute aggregates (public method for benchmarks)",28,"(attribute, aggregation_attr, operation)",false,"Graph.group_by","group_by","Graph","{}",3,"Graph -> Unknown","[""attribute"", ""aggregation_attr"", ""operation""]","Unknown","(attribute, aggregation_attr, operation)",5,"Graph","Graph",21
compressed_text,190,"(attr_name)",false,"EdgesAccessor.group_by","group_by","EdgesAccessor","{}",1,"EdgesAccessor -> list","[""attr_name""]","list","(attr_name)",9,"EdgesAccessor","EdgesAccessor",8
compressed_text,70,"()",false,"AttrName.isnumeric","isnumeric","AttrName","{}",0,"AttrName -> str","[]","str","()",10,"AttrName","AttrName",7
"Collect all tables into a Python list (for compatibility with iterator patterns)",316,"()",false,"TableArray.collect","collect","TableArray","{}",0,"TableArray -> list","[]","list","()",4,"TableArray","TableArray",8
"Iterate over rows - returns iterator of BaseArrays or NumArrays",408,"()",false,"GraphMatrix.iter_rows","iter_rows","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",15,"GraphMatrix","GraphMatrix",21
"SVD decomposition: A = U * Σ * V^T
Returns tuple of (U, singular_values, V_transpose)",445,"()",false,"GraphMatrix.svd","svd","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",15,"GraphMatrix","GraphMatrix",21
"Get node mapping for a specific attribute (FFI wrapper around core operations)",27,"(uid_key, return_inverse=False)",false,"Graph.get_node_mapping","get_node_mapping","Graph","{}",2,"Graph -> Unknown","[""uid_key""]","Unknown","(uid_key, return_inverse=False)",5,"Graph","Graph",21
compressed_text,133,"(tabsize=8)",false,"BranchName.expandtabs","expandtabs","BranchName","{}",1,"BranchName -> Unknown","[]","Unknown","(tabsize=8)",22,"BranchName","BranchName",21
"Convert to pandas DataFrame",278,"()",false,"EdgesTable.to_pandas","to_pandas","EdgesTable","{}",0,"EdgesTable -> Unknown","[]","Unknown","()",13,"EdgesTable","EdgesTable",21
"Filter NodesAccessor objects by node count threshold",283,"(min_size)",false,"NodesArray.filter_by_size","filter_by_size","NodesArray","{}",1,"NodesArray -> NodesAccessor","[""min_size""]","NodesAccessor","(min_size)",28,"NodesArray","NodesArray",20
"Get largest component without materializing others",463,"()",false,"ComponentsArray.largest_component","largest_component","ComponentsArray","{}",0,"ComponentsArray -> Unknown","[]","Unknown","()",14,"ComponentsArray","ComponentsArray",21
compressed_text,118,"(row, column_name, value)",false,"BaseTable.set_value","set_value","BaseTable","{}",3,"BaseTable -> Unknown","[""row"", ""column_name"", ""value""]","Unknown","(row, column_name, value)",23,"BaseTable","BaseTable",21
"Convert subgraph edges to a table - pure delegation to core GraphTable",339,"()",false,"Subgraph.edges_table","edges_table","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",6,"Subgraph","Subgraph",6
compressed_text,169,"(bytes, byteorder, signed=False)",false,"EdgeId.from_bytes","from_bytes","EdgeId","{}",3,"EdgeId -> list","[""bytes"", ""byteorder""]","list","(bytes, byteorder, *, signed=False)",12,"EdgeId","EdgeId",8
"Get the first NodesAccessor",284,"()",false,"NodesArray.first","first","NodesArray","{}",0,"NodesArray -> NodesAccessor","[]","NodesAccessor","()",28,"NodesArray","NodesArray",20
"Convert uppercase characters to lowercase and lowercase characters to uppercase.",90,"()",false,"AttrName.swapcase","swapcase","AttrName","{}",0,"AttrName -> Unknown","[]","Unknown","()",10,"AttrName","AttrName",21
"Create an iterator for method chaining",287,"()",false,"NodesArray.iter","iter","NodesArray","{}",0,"NodesArray -> Unknown","[]","Unknown","()",28,"NodesArray","NodesArray",21
"Get statistics about the NodesAccessor collection",289,"()",false,"NodesArray.stats","stats","NodesArray","{}",0,"NodesArray -> NodesAccessor","[]","NodesAccessor","()",28,"NodesArray","NodesArray",20
"Enable or disable gradient tracking for this matrix",430,"(requires_grad)",false,"GraphMatrix.requires_grad_","requires_grad_","GraphMatrix","{}",1,"GraphMatrix -> Matrix","[""requires_grad""]","Matrix","(requires_grad)",15,"GraphMatrix","GraphMatrix",2
"Get column as raw BaseArray (always returns BaseArray regardless of type)",107,"(column_name)",false,"BaseTable.get_column_raw","get_column_raw","BaseTable","{}",1,"BaseTable -> BaseArray","[""column_name""]","BaseArray","(column_name)",23,"BaseTable","BaseTable",27
"Get in-degree of nodes within subgraph",352,"(nodes=None, full_graph=False)",false,"Subgraph.in_degree","in_degree","Subgraph","{}",2,"Subgraph -> Subgraph","[]","Subgraph","(nodes=None, full_graph=False)",6,"Subgraph","Subgraph",6
"Get edges as tuples (edge_id, source, target)",246,"()",false,"EdgesTable.as_tuples","as_tuples","EdgesTable","{}",0,"EdgesTable -> Unknown","[]","Unknown","()",13,"EdgesTable","EdgesTable",21
compressed_text,72,"()",false,"AttrName.isspace","isspace","AttrName","{}",0,"AttrName -> str","[]","str","()",10,"AttrName","AttrName",7
"",369,"(_other)",false,"Subgraph.subtract_from","subtract_from","Subgraph","{}",1,"Subgraph -> Unknown","[""_other""]","Unknown","(_other)",6,"Subgraph","Subgraph",21
compressed_text,150,"(sep)",false,"BranchName.partition","partition","BranchName","{}",1,"BranchName -> str","[""sep""]","str","(sep, /)",22,"BranchName","BranchName",7
"Get text summary of subgraph",370,"()",false,"Subgraph.summary","summary","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",6,"Subgraph","Subgraph",6
"Concatenate matrices along specified axis",382,"(other, axis)",false,"GraphMatrix.concatenate","concatenate","GraphMatrix","{}",2,"GraphMatrix -> Unknown","[""other"", ""axis""]","Unknown","(other, axis)",15,"GraphMatrix","GraphMatrix",21
compressed_text,235,"(columns)",false,"NodesTable.select","select","NodesTable","{}",1,"NodesTable -> list","[""columns""]","list","(columns)",11,"NodesTable","NodesTable",8
"Element-wise natural logarithm",410,"()",false,"GraphMatrix.log","log","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",15,"GraphMatrix","GraphMatrix",21
"Element-wise exponential (e^x)",390,"()",false,"GraphMatrix.exp","exp","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",15,"GraphMatrix","GraphMatrix",21
"Export BaseTable to JSON file",125,"(path)",false,"BaseTable.to_json","to_json","BaseTable","{}",1,"BaseTable -> BaseTable","[""path""]","BaseTable","(path)",23,"BaseTable","BaseTable",23
"Convert graph to attribute matrix - delegates to PyGraphMatrixHelper",54,"()",false,"Graph.to_matrix","to_matrix","Graph","{}",0,"Graph -> Graph","[]","Graph","()",5,"Graph","Graph",5
compressed_text,121,"(start, end)",false,"BaseTable.slice","slice","BaseTable","{}",2,"BaseTable -> BaseTable","[""start"", ""end""]","BaseTable","(start, end)",23,"BaseTable","BaseTable",23
"Get first n rows (default 5)",225,"(n=5)",false,"NodesTable.head","head","NodesTable","{}",1,"NodesTable -> Unknown","[]","Unknown","(n=5)",11,"NodesTable","NodesTable",21
"Create NodesTable from a Python dictionary (must contain 'node_id' column)",221,"(data)",false,"NodesTable.from_dict","from_dict","NodesTable","{}",1,"NodesTable -> dict","[""data""]","dict","(data)",11,"NodesTable","NodesTable",0
"Get shape as (rows, cols)",270,"()",false,"EdgesTable.shape","shape","EdgesTable","{}",0,"EdgesTable -> Unknown","[]","Unknown","()",13,"EdgesTable","EdgesTable",21
"Apply aggregation to all tables - placeholder method",315,"(agg_spec)",false,"TableArray.agg","agg","TableArray","{}",1,"TableArray -> Unknown","[""agg_spec""]","Unknown","(agg_spec)",4,"TableArray","TableArray",21
compressed_text,158,"(sep=None, maxsplit=-1)",false,"BranchName.split","split","BranchName","{}",2,"BranchName -> list","[]","list","(sep=None, maxsplit=-1)",22,"BranchName","BranchName",8
compressed_text,226,"()",false,"NodesTable.interactive","interactive","NodesTable","{}",0,"NodesTable -> str","[]","str","()",11,"NodesTable","NodesTable",7
"Return a copy of the string converted to uppercase.",164,"()",false,"BranchName.upper","upper","BranchName","{}",0,"BranchName -> str","[]","str","()",22,"BranchName","BranchName",7
compressed_text,162,"()",false,"BranchName.title","title","BranchName","{}",0,"BranchName -> str","[]","str","()",22,"BranchName","BranchName",7
compressed_text,411,"()",false,"GraphMatrix.lu_decomposition","lu_decomposition","GraphMatrix","{}",0,"GraphMatrix -> Unknown","[]","Unknown","()",15,"GraphMatrix","GraphMatrix",21
compressed_text,57,"()",false,"Graph.view","view","Graph","{}",0,"Graph -> Graph","[]","Graph","()",5,"Graph","Graph",5
compressed_text,58,"()",false,"AttrName.capitalize","capitalize","AttrName","{}",0,"AttrName -> str","[]","str","()",10,"AttrName","AttrName",7
"Convert to Python list",291,"()",false,"NodesArray.to_list","to_list","NodesArray","{}",0,"NodesArray -> list","[]","list","()",28,"NodesArray","NodesArray",8
compressed_text,97,"(updates)",false,"BaseTable.assign","assign","BaseTable","{}",1,"BaseTable -> dict","[""updates""]","dict","(updates)",23,"BaseTable","BaseTable",0
"Commit current state of the graph (FFI wrapper around core history system)",11,"(message, author)",false,"Graph.commit","commit","Graph","{}",2,"Graph -> Graph","[""message"", ""author""]","Graph","(message, author)",5,"Graph","Graph",5
"Check if a node exists in this subgraph",350,"(node_id)",false,"Subgraph.has_node","has_node","Subgraph","{}",1,"Subgraph -> Subgraph","[""node_id""]","Subgraph","(node_id)",6,"Subgraph","Subgraph",6
"Checkout a branch (FFI wrapper around core history system)",10,"(branch_name)",false,"Graph.checkout_branch","checkout_branch","Graph","{}",1,"Graph -> Unknown","[""branch_name""]","Unknown","(branch_name)",5,"Graph","Graph",21
"Check if the array is empty",286,"()",false,"NodesArray.is_empty","is_empty","NodesArray","{}",0,"NodesArray -> list","[]","list","()",28,"NodesArray","NodesArray",8
compressed_text,122,"(column, ascending=True)",false,"BaseTable.sort_by","sort_by","BaseTable","{}",2,"BaseTable -> BaseTable","[""column""]","BaseTable","(column, ascending=True)",23,"BaseTable","BaseTable",23
"Direct delegation: Apply filter to components",462,"(predicate)",false,"ComponentsArray.filter","filter","ComponentsArray","{}",1,"ComponentsArray -> Unknown","[""predicate""]","Unknown","(predicate)",14,"ComponentsArray","ComponentsArray",21
"Check if node exists - DELEGATED (same as has_node)",14,"(node)",false,"Graph.contains_node","contains_node","Graph","{}",1,"Graph -> Unknown","[""node""]","Unknown","(node)",5,"Graph","Graph",21
compressed_text,173,"(bytes, byteorder, signed=False)",false,"NodeId.from_bytes","from_bytes","NodeId","{}",3,"NodeId -> list","[""bytes"", ""byteorder""]","list","(bytes, byteorder, *, signed=False)",3,"NodeId","NodeId",8
"Convert uppercase characters to lowercase and lowercase characters to uppercase.",161,"()",false,"BranchName.swapcase","swapcase","BranchName","{}",0,"BranchName -> Unknown","[]","Unknown","()",22,"BranchName","BranchName",21
"Check if an edge exists in the graph - DELEGATED  ",30,"(edge_id)",false,"Graph.has_edge","has_edge","Graph","{}",1,"Graph -> Graph","[""edge_id""]","Graph","(edge_id)",5,"Graph","Graph",5
"Import BaseTable from Parquet file",105,"(path)",false,"BaseTable.from_parquet","from_parquet","BaseTable","{}",1,"BaseTable -> BaseTable","[""path""]","BaseTable","(path)",23,"BaseTable","BaseTable",23
"Return a copy of the string converted to uppercase.",93,"()",false,"AttrName.upper","upper","AttrName","{}",0,"AttrName -> str","[]","str","()",10,"AttrName","AttrName",7
"Get reference to underlying BaseTable",216,"()",false,"NodesTable.base_table","base_table","NodesTable","{}",0,"NodesTable -> BaseTable","[]","BaseTable","()",11,"NodesTable","NodesTable",23
"Get neighborhood sampling performance statistics",39,"()",false,"Graph.neighborhood_statistics","neighborhood_statistics","Graph","{}",0,"Graph -> Unknown","[]","Unknown","()",5,"Graph","Graph",21
compressed_text,245,"(attr_name, attributes)",false,"NodesTable.with_attributes","with_attributes","NodesTable","{}",2,"NodesTable -> dict","[""attr_name"", ""attributes""]","dict","(attr_name, attributes)",11,"NodesTable","NodesTable",0
compressed_text,323,"()",false,"Subgraph.adjacency_matrix","adjacency_matrix","Subgraph","{}",0,"Subgraph -> Subgraph","[]","Subgraph","()",6,"Subgraph","Subgraph",6
"Get reference to underlying BaseTable",248,"()",false,"EdgesTable.base_table","base_table","EdgesTable","{}",0,"EdgesTable -> BaseTable","[]","BaseTable","()",13,"EdgesTable","EdgesTable",23
"Get column by name as BaseArray (mixed types) or NumArray (if all numerical)",401,"(name)",false,"GraphMatrix.get_column_by_name","get_column_by_name","GraphMatrix","{}",1,"GraphMatrix -> BaseArray","[""name""]","BaseArray","(name)",15,"GraphMatrix","GraphMatrix",27
"Convert to regular Python list (materializes all components)",468,"()",false,"ComponentsArray.to_list","to_list","ComponentsArray","{}",0,"ComponentsArray -> list","[]","list","()",14,"ComponentsArray","ComponentsArray",8
"Get first n rows (default 5)",110,"(n=5)",false,"BaseTable.head","head","BaseTable","{}",1,"BaseTable -> Unknown","[]","Unknown","(n=5)",23,"BaseTable","BaseTable",21
compressed_text,131,"(width, fillchar= )",false,"BranchName.center","center","BranchName","{}",2,"BranchName -> str","[""width""]","str","(width, fillchar=' ', /)",22,"BranchName","BranchName",7
compressed_text,167,"()",false,"EdgeId.as_integer_ratio","as_integer_ratio","EdgeId","{}",0,"EdgeId -> int","[]","int","()",12,"EdgeId","EdgeId",32
"Stack matrices along specified axis",440,"(other, axis)",false,"GraphMatrix.stack","stack","GraphMatrix","{}",2,"GraphMatrix -> Unknown","[""other"", ""axis""]","Unknown","(other, axis)",15,"GraphMatrix","GraphMatrix",21
compressed_text,412,"(func)",false,"GraphMatrix.map","map","GraphMatrix","{}",1,"GraphMatrix -> Matrix","[""func""]","Matrix","(func)",15,"GraphMatrix","GraphMatrix",2
compressed_text,285,"(port=None, layout=None, theme=None, width=None, height=None)",false,"NodesArray.interactive","interactive","NodesArray","{}",5,"NodesArray -> float","[]","float","(port=None, layout=None, theme=None, width=None, height=None)",28,"NodesArray","NodesArray",1
"Get node IDs as an IntArray for integer operations
Implements: g.nodes.ids()",185,"()",false,"NodesAccessor.ids","ids","NodesAccessor","{}",0,"NodesAccessor -> int","[]","int","()",20,"NodesAccessor","NodesAccessor",32
compressed_text,83,"(width, fillchar= )",false,"AttrName.rjust","rjust","AttrName","{}",2,"AttrName -> str","[""width""]","str","(width, fillchar=' ', /)",10,"AttrName","AttrName",7
compressed_text,176,"()",false,"StateId.bit_length","bit_length","StateId","{}",0,"StateId -> float","[]","float","()",19,"StateId","StateId",1
