performance,years_exp,department,user_id,salary
4.5,8,Engineering,192,84595
4.8,7,Marketing,193,137069
4.3,16,Engineering,194,117620
3.7,17,Finance,195,64662
3.4,16,Finance,196,137598
3,1,Sales,197,55218
3.1,9,Finance,198,115083
4.7,16,Sales,199,88200
2.1,11,Engineering,200,56700
2.6,2,Engineering,201,81074
3.7,9,Engineering,202,89832
2.1,20,Sales,203,115617
4,4,Engineering,204,136589
3.1,1,Engineering,205,40220
3,4,Marketing,206,80737
4.2,11,Engineering,207,48111
2,19,Finance,208,117340
2.9,7,Sales,209,110202
3.4,12,Marketing,210,64885
2.4,9,HR,211,90875
2.3,11,Sales,212,95535
3.6,1,Finance,213,81896
4.3,4,Sales,214,141093
3.8,17,Finance,215,87844
3.4,5,Finance,216,144532
3.7,7,HR,217,129037
3.7,3,Sales,218,144407
4.3,7,HR,219,56555
2.4,8,HR,220,108124
4.4,4,Sales,221,126998
4.4,15,Engineering,222,118855
3.9,11,Engineering,223,117434
2.7,11,HR,224,69116
3.6,14,Marketing,225,53970
3.3,12,HR,226,91814
2.1,14,HR,227,41204
2.3,5,HR,228,110555
4.8,19,Engineering,229,100372
4,19,Engineering,230,81409
5,2,Engineering,231,58966
4.1,3,HR,232,146974
4.4,10,Marketing,233,78905
5,9,Engineering,234,149735
2.8,18,Sales,235,68692
4.5,0,Sales,236,105514
4.9,9,Sales,237,129126
4.9,20,Finance,238,99740
3.1,8,HR,239,59323
3.5,6,Sales,240,118835
4.2,2,HR,241,77144
3.2,16,Sales,242,59119
2.1,6,Marketing,243,137918
2.9,20,HR,244,127208
2.6,9,Sales,245,145026
2.3,7,Engineering,246,148495
2.4,13,HR,247,132139
3.6,19,Finance,248,44501
3.8,11,Engineering,249,118496
2.3,7,Engineering,250,81961
2.3,2,Finance,251,80487
4.9,1,Engineering,252,105847
4.3,20,Engineering,253,130256
3,5,Sales,254,56182
2.4,18,Sales,255,75841
3.7,15,HR,256,132605
3.7,15,HR,257,115231
2.2,3,HR,258,102689
2.1,20,Sales,259,122716
2.9,3,HR,260,148617
4.3,10,Engineering,261,68272
4.3,0,Sales,262,104883
4.7,13,HR,263,78206
2.2,4,Engineering,264,132293
4.1,18,HR,265,89375
4.8,3,Marketing,266,47708
4.6,14,HR,267,146195
3.6,19,Marketing,268,83665
4.7,4,HR,269,60014
4,12,Finance,270,148512
2.3,10,HR,271,133947
3.2,2,Sales,272,67605
4.8,14,Sales,273,136030
2.9,6,Marketing,274,146223
4.6,5,Sales,275,69500
2.3,16,Engineering,276,131803
3,3,Finance,277,136433
4.2,13,Finance,278,46889
2.4,4,Engineering,279,141716
2.3,19,Marketing,280,63464
4.8,2,Engineering,281,103898
2,1,Engineering,282,135341
4.7,16,Finance,283,91355
2.1,15,HR,284,79203
4.4,7,Finance,285,146825
3.2,19,Finance,286,126409
2.3,4,Sales,287,60865
2.5,5,Engineering,288,42826
4.8,3,Finance,289,111819
4.7,18,Engineering,290,91417
2.7,17,Sales,291,84225
3,7,Engineering,292,95369
2.6,12,Finance,293,128853
4.8,18,Engineering,294,102052
4.1,2,Sales,295,85653
2.3,10,HR,296,139315
4.4,14,Engineering,297,91296
3.4,6,Finance,298,91257
4.2,14,Sales,299,49414
2.4,13,Finance,300,109185
4.2,15,Finance,301,135257
4.5,3,Engineering,302,77098
4,0,Finance,303,77010
2.7,11,Engineering,304,131275
3.2,4,HR,305,65571
4,18,Finance,306,131895
4.6,16,Finance,307,111828
3.7,14,Finance,308,91612
4.2,15,Marketing,309,52755
4.5,0,Marketing,310,57157
3.5,14,Sales,311,82391
2.7,20,Marketing,312,138601
3.3,9,Sales,313,143714
3.8,11,Marketing,314,116072
3.2,19,HR,315,145522
4.5,19,Sales,316,47094
2.9,2,Marketing,317,133007
2.4,11,HR,318,79855
4.9,6,Marketing,319,99969
3.2,1,Engineering,320,125804
3.7,8,Engineering,321,61455
2.8,8,HR,322,115649
3.8,10,Finance,323,58030
4.7,1,Finance,324,97918
4.1,0,Engineering,325,131220
2.8,5,Engineering,326,103234
3.8,0,Finance,327,78152
2,4,Sales,328,58982
2.3,20,Finance,329,67494
3.8,12,Marketing,330,68591
4.2,16,Sales,331,145428
4.1,7,Marketing,332,138091
3.7,17,Engineering,333,65644
4.4,15,Sales,334,136379
3.7,17,Marketing,335,125359
4.9,19,Marketing,336,41197
2.7,1,Sales,337,87477
4.1,6,HR,338,135152
2.7,9,Finance,339,115455
2.7,20,Marketing,340,53362
2.1,11,Finance,341,128908
2.2,1,Finance,342,142956
3.2,5,Engineering,343,59346
4.9,19,Finance,344,89355
2.8,10,Marketing,345,95982
2.3,16,Engineering,346,129056
2,12,Sales,347,62049
2.6,14,Marketing,348,47383
2.3,12,Engineering,349,52589
4.1,1,Engineering,350,86607
3.2,7,Finance,351,102111
3,20,Sales,352,63544
3.3,1,Marketing,353,46877
2.4,8,Marketing,354,55380
3.9,0,Finance,355,107559
2.4,19,Sales,356,125209
3.1,6,Marketing,357,84366
4.9,8,Sales,358,117777
3.1,13,Marketing,359,96861
3.6,14,Finance,360,59473
2.8,11,HR,361,122178
4,9,Marketing,362,134706
4.6,20,Engineering,363,92952
2.4,2,Engineering,364,72112
3.2,17,HR,365,44455
2.6,4,Marketing,366,55571
4,7,Engineering,367,71569
4.8,13,Engineering,368,91989
2.7,17,Marketing,369,104045
3.5,16,Sales,370,79674
2.8,3,Marketing,371,130175
2.1,1,Sales,372,118139
2,2,HR,373,62608
3.4,7,Finance,374,125563
2.2,17,HR,375,137674
4.7,4,Finance,376,89200
2.2,14,Engineering,377,141692
3.4,5,Engineering,378,130674
2.9,2,Engineering,379,144244
3.2,1,Sales,380,127914
4.6,10,Finance,381,126313
2.4,3,Engineering,382,51745
2.8,7,Marketing,383,141938
3.3,7,Finance,384,100774
2,8,Finance,385,147242
4.4,12,Sales,386,125237
3.6,1,HR,387,90082
3.8,3,Sales,388,76073
3,17,Engineering,389,122881
3.9,9,Marketing,390,125615
3.3,5,Marketing,391,98342
4.1,4,Engineering,392,88145
2.8,0,Marketing,393,41520
3.4,3,Sales,394,55728
3.2,7,Sales,395,55286
2.5,17,Engineering,396,50831
2.7,17,Marketing,397,55997
4.7,5,Finance,398,104122
2.1,11,HR,399,124070
2.7,7,Finance,400,127659
3.5,5,Sales,401,106813
2.7,1,Sales,402,69482
4.8,17,Sales,403,43018
3.5,6,Sales,404,116919
4.8,2,HR,405,115101
2.3,12,Engineering,406,115055
4.2,16,Sales,407,102848
3.6,3,Marketing,408,75877
4.1,20,HR,409,130928
2.8,13,Sales,410,137695
4,7,Marketing,411,52393
4.4,13,Sales,412,144116
4.2,0,Engineering,413,117709
2.1,7,HR,414,63736
3.7,17,Engineering,415,90326
4.7,18,HR,416,103463
2.7,2,Sales,417,124488
2.8,20,Sales,418,132109
4.4,15,HR,419,96840
4.3,7,Marketing,420,79107
4,12,Marketing,421,114897
3.7,19,Sales,422,56414
3.8,0,Sales,423,53033
4.4,14,Engineering,424,82628
3.6,16,Sales,425,48322
2.5,18,HR,426,133555
3.5,9,Marketing,427,144231
3.6,20,Marketing,428,110452
2.4,15,Engineering,429,64233
2.1,13,Marketing,430,93127
4.3,15,Marketing,431,146544
4.3,5,Finance,432,131847
3.3,1,HR,433,42588
3,1,Finance,434,91615
3.4,0,Marketing,435,112883
2.6,11,Engineering,436,147146
4.2,4,Engineering,437,110309
4.2,2,Marketing,438,142691
3.3,8,Sales,439,146456
4.1,3,Finance,440,109479
2.8,1,Marketing,441,104036
2.6,15,Engineering,442,48379
3.2,0,Engineering,443,108013
4.5,14,Finance,444,149726
3.8,3,HR,445,116640
3.7,13,Marketing,446,110645
2.3,7,Marketing,447,133552
3.4,8,HR,448,147325
2.6,17,Finance,449,143555
2.7,11,Finance,450,125419
2.1,0,Engineering,451,56264
3,20,HR,452,138763
3.4,17,Finance,453,138695
2.7,19,Sales,454,67192
3,10,Marketing,455,126321
2.7,3,Engineering,456,55378
4.9,5,HR,457,63680
2,6,Engineering,458,118525
2.2,14,Finance,459,131123
3.7,0,Finance,460,63584
2.4,16,Sales,461,40697
3.2,11,Marketing,462,112708
2.1,2,HR,463,98619
3.4,3,Engineering,464,144924
3.6,18,Marketing,465,81195
4.2,2,Finance,466,56127
2.3,19,Marketing,467,45130
5,8,Engineering,468,56884
3.6,20,Marketing,469,115377
4.2,9,Finance,470,67030
2.7,11,Marketing,471,125542
2.6,8,HR,472,61130
3.1,11,Marketing,473,51510
2.1,13,HR,474,113727
2,19,Marketing,475,73654
3.8,15,Finance,476,138706
2.4,4,Sales,477,44588
2.8,19,Sales,478,51090
3.8,12,HR,479,56346
3.3,11,HR,480,106341
2.6,10,Sales,481,79135
3,12,Finance,482,87652
2.7,3,Finance,483,111359
2.4,19,Marketing,484,62492
4.4,5,HR,485,95450
4.4,14,Finance,486,126266
3.6,13,Engineering,487,40011
3.9,15,Marketing,488,72550
4.3,2,Marketing,489,79400
2.1,7,Sales,490,46051
4.1,14,HR,491,108084
3.6,14,Finance,492,142603
4,3,Finance,493,78456
4.1,16,Marketing,494,126397
2,16,HR,495,110005
4.5,13,HR,496,98316
4.5,4,HR,497,58331
2.6,13,Sales,498,115637
3.2,7,Finance,499,104283
3,18,HR,500,131108
2.3,11,Sales,501,81017
3.7,12,Engineering,502,108506
4.8,3,Marketing,503,86152
2.8,4,Finance,504,119452
3.3,12,Finance,505,110544
3,12,Marketing,506,106924
3.1,14,Engineering,507,67504
3.4,17,Sales,508,130168
4.1,7,Marketing,509,52977
2.1,0,Sales,510,126850
2.3,11,Sales,511,147448
3.9,11,Sales,512,45863
2.1,15,Engineering,513,71077
2.8,6,Engineering,514,44814
2.5,14,Sales,515,64651
2.5,3,HR,516,58568
4.2,6,Finance,517,79283
4.2,17,Engineering,518,149134
2.6,16,HR,519,68208
2.6,15,HR,520,57590
2.4,9,Finance,521,118924
3.4,1,Sales,522,112361
4,5,HR,523,68316
2.7,4,HR,524,117566
2.4,6,HR,525,87063
2.4,20,Sales,526,76358
4.7,9,Sales,527,56841
2.6,12,Engineering,528,135565
3.9,2,Engineering,529,121567
4.6,9,HR,530,95314
2.9,9,Sales,531,49746
4.1,12,Sales,532,112069
2.5,12,Finance,533,73419
2.2,5,HR,534,74167
4.7,15,Engineering,535,90040
3.4,13,Finance,536,125166
2,6,Sales,537,61406
3.1,6,Engineering,538,92436
3.6,0,HR,539,99777
4.1,9,Sales,540,50912
4.7,3,HR,541,73315
2.3,2,Finance,542,128673
4.3,14,Finance,543,95750
2.6,13,Finance,544,131031
2.5,3,Marketing,545,58775
2.3,9,HR,546,110242
2.7,5,Finance,547,66707
4.4,20,Finance,548,49248
2.8,3,HR,549,122518
3.6,11,Finance,550,136033
3.7,5,HR,551,75310
4,9,Sales,552,122984
4.8,16,HR,553,131331
4.8,7,HR,554,124616
4.7,3,Marketing,555,65248
4.8,19,Sales,556,133643
5,12,Marketing,557,88777
4.7,17,Finance,558,113877
2.5,13,HR,559,126155
5,6,Sales,560,124904
3.6,13,Marketing,561,147545
3.7,8,HR,562,107033
4.9,15,Engineering,563,119291
3.3,0,Marketing,564,61501
3.8,8,Sales,565,95009
4.4,12,Marketing,566,147684
2.8,10,Marketing,567,60118
2.8,12,Marketing,568,81465
2.6,17,Finance,569,143256
4.2,18,Engineering,570,96836
4.3,12,Sales,571,89668
2.1,18,Sales,572,43396
3.2,16,Sales,573,119116
3.1,15,HR,574,72440
3.6,0,Sales,575,50161
4.8,6,Sales,576,75405
4.6,12,Engineering,577,56334
2.3,17,HR,578,109660
4.1,17,HR,579,54416
4.7,7,Marketing,580,129650
2.7,0,Finance,581,111875
4.1,0,HR,582,93317
4.8,8,HR,583,48645
2.3,17,Engineering,584,83169
3.4,7,Sales,585,123909
4.7,15,HR,586,51662
3.7,19,HR,587,87555
4.2,20,Finance,588,83714
2.4,7,Engineering,589,141983
3.6,12,Finance,590,75815
3.6,7,HR,591,59179
2.7,2,HR,592,144608
2.4,11,Engineering,593,69591
4.7,18,Marketing,594,75867
3.5,5,Marketing,595,41292
3.8,4,HR,596,52838
4.7,19,HR,597,89434
2.7,3,Finance,598,69127
3.7,20,Finance,599,89628
3,5,Finance,600,53762
3.6,15,Sales,601,142594
2.8,1,HR,602,56187
3,12,Sales,603,63033
2.4,10,Marketing,604,109006
2.5,19,HR,605,135463
3.3,7,HR,606,80180
4.6,8,Engineering,607,117178
2.6,2,HR,608,147655
4.4,1,Marketing,609,145748
2.7,8,HR,610,104175
3.9,1,Sales,611,52522
3.6,12,HR,612,109331
3.9,4,Sales,613,85731
2.2,18,Finance,614,131810
4.2,3,Finance,615,114993
3.6,2,Engineering,616,76961
4.2,17,HR,617,112291
3,14,Finance,618,75527
2.5,5,Finance,619,119621
2.8,4,Engineering,620,52984
4.5,16,Engineering,621,46286
2.1,5,HR,622,62380
4.3,8,Sales,623,81680
4.3,15,HR,624,138549
4.3,3,Sales,625,91060
4.1,16,Engineering,626,63681
4.6,6,Marketing,627,85242
4.2,0,HR,628,145655
2.3,2,Marketing,629,137163
2.5,17,Sales,630,128842
4.2,3,HR,631,143382
3.9,14,Marketing,632,109688
2.2,18,Marketing,633,112308
4.1,12,HR,634,117937
3.4,20,Marketing,635,92776
4.4,1,HR,636,102503
3.3,15,Marketing,637,117635
4.7,10,Engineering,638,56721
3.9,14,HR,639,73955
2.2,16,Engineering,640,41244
3.9,19,Finance,641,130001
4.9,16,Engineering,642,107314
2.1,20,Marketing,643,133483
2.4,8,Sales,644,60380
3.1,18,Engineering,645,126188
3.1,15,Engineering,646,56563
2.3,9,Engineering,647,58700
4.7,18,Sales,648,89650
3.9,19,Sales,649,114391
4.3,14,Engineering,650,136393
2.8,19,Finance,651,75044
2.3,19,Sales,652,46929
4.4,1,Sales,653,135082
3.8,10,Sales,654,123780
3.7,5,HR,655,88516
3.4,4,Engineering,656,132733
3.5,3,Finance,657,141912
4.7,15,Sales,658,72651
2.2,3,HR,659,128895
2.5,3,Marketing,660,119783
4.3,8,Marketing,661,94820
3.5,17,Sales,662,132639
4.4,13,Finance,663,100003
2.9,10,Finance,664,63999
3.4,13,Engineering,665,97535
3.5,11,Sales,666,86399
3.4,16,Marketing,667,144656
2.1,3,Engineering,668,101428
2.1,17,Finance,669,105828
4,19,Engineering,670,77594
4.7,17,Marketing,671,76152
3.1,3,Finance,672,96068
3.9,0,HR,673,108235
2.3,13,HR,674,134170
4.2,2,Sales,675,146695
2.8,15,Engineering,676,69984
2.4,6,Finance,677,80001
3.1,20,Sales,678,123313
2.4,10,Engineering,679,51395
3.2,13,Marketing,680,80063
4.4,7,Finance,681,93282
3.5,3,Engineering,682,141001
5,13,Finance,683,80991
3.1,6,Engineering,684,51814
2.1,3,Marketing,685,123188
2.9,5,Finance,686,50416
2.5,19,HR,687,50052
3.7,14,Marketing,688,135676
4.2,11,Engineering,689,71462
3.7,11,Finance,690,52272
2.1,14,Marketing,691,61641
3.4,5,Engineering,692,115407
3.2,13,HR,693,47525
2.7,3,HR,694,51086
3.8,13,Engineering,695,137440
3.8,19,HR,696,77467
3.4,9,Marketing,697,112634
3.1,19,HR,698,104598
5,13,Sales,699,145951
4.3,6,HR,700,41401
4.3,15,Sales,701,95572
4.9,17,Finance,702,128740
4.6,16,Marketing,703,106674
3.6,2,Finance,704,135787
2.4,2,Finance,705,57881
2.2,18,HR,706,102869
4.4,6,HR,707,105248
4.8,16,HR,708,107503
4.6,18,Finance,709,129800
2.8,20,Marketing,710,128706
3.6,18,Marketing,711,109783
4.7,18,Sales,712,131472
4.7,1,Engineering,713,56343
4.2,12,Marketing,714,93145
2.8,16,HR,715,41821
4.2,5,Sales,716,120777
4.9,1,HR,717,64927
3.9,3,Finance,718,148972
3.6,6,Finance,719,137768
3.4,20,HR,720,40955
4.6,0,Marketing,721,133606
2.7,15,Engineering,722,95702
2.6,2,HR,723,132090
4.2,13,Marketing,724,110035
2.6,15,Sales,725,138260
3.9,11,HR,726,85227
3.2,6,Sales,727,72011
2.7,5,Marketing,728,136859
4,3,Marketing,729,126661
2.4,12,Marketing,730,147919
3.2,7,Marketing,731,109220
4,6,Finance,732,129663
4.2,13,Marketing,733,119848
3.6,3,Finance,734,45551
3.9,7,Engineering,735,119609
4,2,Finance,736,98805
2.9,15,Sales,737,62089
2.9,19,Engineering,738,128410
2.1,16,Sales,739,140101
4.6,10,HR,740,108618
4.3,8,HR,741,69500
2.4,18,Finance,742,62913
4.2,1,Sales,743,49846
4.5,1,HR,744,88110
3.3,9,HR,745,57474
2.3,19,HR,746,107329
4.9,1,Engineering,747,86306
2.8,7,Engineering,748,46672
3.4,15,Marketing,749,95407
2.1,5,Sales,750,104947
3.2,19,HR,751,89688
4.8,11,Sales,752,62345
3.9,9,Marketing,753,88927
2.5,11,Finance,754,54841
4.8,16,Marketing,755,84296
3.1,10,HR,756,129006
2.9,16,Finance,757,72737
4.6,7,Finance,758,149016
2.6,10,Marketing,759,110663
4.4,13,HR,760,140455
4.2,7,Finance,761,55448
3.1,19,Marketing,762,78019
3.6,18,Marketing,763,79213
2.6,17,HR,764,103324
2.6,3,Marketing,765,78475
4.6,4,Marketing,766,74701
4.2,15,Marketing,767,67926
4,8,Sales,768,40292
3.4,6,Engineering,769,136734
2.9,19,Sales,770,122729
4.4,20,Marketing,771,114559
4.6,4,Engineering,772,91592
3.5,4,Finance,773,68503
4.9,10,Sales,774,79953
3.6,10,Sales,775,124275
4.7,3,Sales,776,107571
2.1,14,HR,777,148229
2.7,8,Marketing,778,44643
2.3,2,Finance,779,100693
2.7,19,Finance,780,120969
4.1,5,Finance,781,103998
3.6,10,Marketing,782,47536
4.5,17,Engineering,783,86628
2.8,2,Sales,784,40772
4.2,20,Marketing,785,120678
2.4,8,Sales,786,100339
3.8,15,Marketing,787,83063
4.1,13,Sales,788,79105
4,5,Marketing,789,86385
3,3,Engineering,790,54046
2.9,5,Finance,791,40675
3.9,6,Sales,792,85838
5,12,Marketing,793,134690
2.9,1,Engineering,794,64400
2.6,3,Engineering,795,92699
2.6,17,Finance,796,86469
4.9,12,Marketing,797,41161
4.5,7,Sales,798,53282
2.6,18,HR,799,96466
3.6,19,Engineering,800,104493
3.8,8,Engineering,801,65892
4.7,11,Finance,802,51107
2.4,8,Marketing,803,109349
4.2,3,HR,804,107412
4.4,6,HR,805,60147
4.4,17,HR,806,93833
2.3,8,Marketing,807,56232
4.1,10,Sales,808,103886
3.4,7,Engineering,809,40905
3.4,3,Marketing,810,60398
4.6,10,HR,811,140853
2.4,12,Engineering,812,126066
2.1,6,Engineering,813,72785
4.9,1,HR,814,69634
2.7,19,HR,815,101695
2.3,7,Engineering,816,91820
4,0,Finance,817,89061
3.5,15,Engineering,818,79227
2.4,19,Sales,819,87775
3.9,12,Sales,820,96143
5,16,Finance,821,63878
2.1,10,Marketing,822,110310
3.2,19,Engineering,823,146370
2.1,1,Sales,824,75321
2.2,20,Engineering,825,54246
2.3,18,Finance,826,97484
4.3,13,HR,827,126019
4.3,9,Finance,828,97587
3.5,11,Finance,829,61211
4.9,18,Finance,830,58333
5,17,Sales,831,86365
2.3,14,Finance,832,137922
4.9,4,HR,833,96880
4.6,20,HR,834,40761
4.3,8,HR,835,87085
4.2,1,Marketing,836,132958
3.6,17,Finance,837,66013
2,19,HR,838,54505
4.7,19,Marketing,839,64846
2.6,5,Finance,840,77342
2.1,3,Finance,841,45276
4.4,14,Engineering,842,57521
3.8,15,Finance,843,91713
3,20,Engineering,844,95188
3.2,6,Sales,845,137507
3.6,10,Sales,846,83412
4.5,20,Marketing,847,44142
3.6,2,Engineering,848,61012
2,13,Sales,849,127320
4.1,12,Sales,850,66082
3,16,Sales,851,102822
3.9,2,Finance,852,127194
3.5,2,Engineering,853,74838
4.2,6,Sales,854,55570
4.5,6,Engineering,855,95193
3.8,19,HR,856,104103
4.9,15,HR,857,112105
4.7,6,Finance,858,104955
4.8,13,HR,859,144834
4.6,14,Marketing,860,129356
4,0,Engineering,861,133627
3.2,15,Sales,862,56703
3.8,4,Marketing,863,82583
3,3,Marketing,864,138446
4.7,15,HR,865,140190
2.2,7,Engineering,866,142280
3.8,9,Sales,867,92412
4.4,0,Marketing,868,105779
4.6,5,Finance,869,135157
3.9,9,Sales,870,137241
3.7,4,HR,871,148218
2.3,20,Engineering,872,90967
2.9,5,Finance,873,57225
2.7,20,Sales,874,54382
3.6,5,Sales,875,54139
3,8,Marketing,876,143902
2.1,3,Sales,877,42772
2.4,19,Engineering,878,56531
5,16,Engineering,879,60387
2.6,7,Sales,880,85104
4.4,1,Marketing,881,105536
2.5,13,Finance,882,41788
2.6,7,Finance,883,140582
3.8,5,Marketing,884,129710
2.4,7,HR,885,70999
2.7,13,Engineering,886,46820
2.8,10,HR,887,128907
3,9,Marketing,888,148768
2.2,0,HR,889,84845
2.8,3,Marketing,890,96317
2.1,17,Finance,891,118261
4.2,3,Finance,892,136656
4.2,20,HR,893,41052
2.4,9,HR,894,96928
3.6,9,Engineering,895,102939
4.8,8,Finance,896,77940
2.1,5,Engineering,897,76991
3.1,9,HR,898,103691
2.1,17,Marketing,899,50828
4.4,8,Finance,900,139732
2.7,4,Marketing,901,96223
4.8,0,Engineering,902,72472
3.3,5,Engineering,903,120951
4.9,8,Sales,904,59987
4.2,7,Finance,905,135584
3.6,11,Finance,906,107009
2.3,0,Engineering,907,64492
4.2,19,Marketing,908,72698
3.3,9,Finance,909,76849
4.5,14,Engineering,910,140496
4.8,13,Sales,911,55075
4.8,11,HR,912,74541
4.6,2,Finance,913,131875
2.2,3,HR,914,72421
4.7,16,Marketing,915,127337
3.1,13,Sales,916,147558
3.2,2,Finance,917,96250
3.8,10,HR,918,66006
4.5,13,HR,919,102114
4.3,8,Engineering,920,132597
3.2,0,HR,921,142592
4.1,19,Marketing,922,146162
2.2,18,HR,923,53508
4.8,9,Marketing,924,131900
2.6,3,Marketing,925,135742
4.9,9,Engineering,926,105841
4.3,15,Sales,927,120098
2.8,11,Marketing,928,63748
3,6,HR,929,64729
2.2,19,HR,930,117489
